,name,header,beds,bedrooms,date_range,price,rating
0,Saleh's Cottage Saleh Cottage,Cabin in Samha,Saleh's Cottage Saleh Cottage,"6 beds,  · 2 bedrooms",Nov 12 – 17,$266,
1,Cypress cottage,Hut in Tabab,Cypress cottage,"3 beds,  · 2 bedrooms",May 1 – 6,"$1,066",
2,Qishla,Apartment in Riyadh,Qishla,"2 beds,  · 2 bedrooms",Dec 15 – 20,$162,5.0 (3)
3,Exhibitor NeighborhoodThe Green (Self-entry),Chalet in Riyadh,Exhibitor NeighborhoodThe Green (Self-entry),Verified fast wifi,Nov 12 – 17,$205,4.86 (177)
4,Mabaat -  Al Narjis - 424,Apartment in Riyadh,Mabaat -  Al Narjis - 424,"3 beds,  · 2 bedrooms",Nov 12 – 17,$244,4.28 (40)
5,VIP Apartment Al Aqeeq District,Apartment in Riyadh,VIP Apartment Al Aqeeq District,"3 beds,  · 2 bedrooms",Nov 12 – 17,$155,New
6,"Riyadh Inn ""Meet your expectations""",Chalet in Riyadh,"Riyadh Inn ""Meet your expectations""","3 beds,  · 2 bedrooms",Nov 12 – 17,,4.5 (36)
7,Almajdieh Apt. 4 | Self Check-In,Apartment in Riyadh,Almajdieh Apt. 4 | Self Check-In,"2 beds,  · 2 bedrooms",Nov 24 – 29,$176,4.93 (67)
8,Amazon apartment 07,Apartment in Riyadh,Amazon apartment 07,"3 beds,  · 3 bedrooms",Nov 24 – 29,$298,New
9,Luxury Apartment 2 Rooms Lounge,Apartment in Riyadh,Luxury Apartment 2 Rooms Lounge,"3 beds,  · 2 bedrooms",Dec 1 – 6,$105,4.88 (33)
10,Cozy Townhouse in Al-Aqiq,Townhouse in Riyadh,Cozy Townhouse in Al-Aqiq,Dedicated workspace,Nov 21 – 26,$400,5.0 (3)
11,Stylish chalet with pool and outdoor BBQ by the beach,Tiny home in Makkah Province,Stylish chalet with pool and outdoor BBQ by the beach,Dedicated workspace,Nov 12 – 17,$182,4.85 (13)
12,Soul Island,Cabin in Taif,Soul Island,"3 beds,  · 2 bedrooms",Nov 13 – 18,$485,New
13,Luxury flat with modern furniture,Apartment in Riyadh,Luxury flat with modern furniture,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.88 (69)
14,Luxury Chalet 2 Bedrooms and  Chalet with pool,Chalet in Riyadh,Luxury Chalet 2 Bedrooms and  Chalet with pool,"2 beds,  · 2 bedrooms",Nov 12 – 17,$379,4.59 (22)
15,f9 cool apartment,Apartment in Jeddah,f9 cool apartment,"1 bed,  · 1 bedroom",Nov 29 – Dec 4,$57,4.9 (21)
16,Luxury two-story apartment with private pool (1),Apartment in Riyadh,Luxury two-story apartment with private pool (1),Dedicated workspace,Nov 20 – 25,,4.8 (5)
17,"Quiet apartment 2 rooms, lounge and independent kitchen Q",Apartment in Riyadh,"Quiet apartment 2 rooms, lounge and independent kitchen Q","3 beds,  · 2 bedrooms",Nov 24 – 29,$115,5.0 (5)
18,Chalet with children's pool and water games near the beach,Tiny home in Makkah Province,Chalet with children's pool and water games near the beach,Dedicated workspace,Nov 12 – 17,,5.0 (10)
19,F203 Nice APT in great location,Apartment in Jeddah,F203 Nice APT in great location,"3 beds,  · 2 bedrooms",Nov 12 – 17,$74,4.8 (25)
20,Sky Taawun | Sky Collaboration,Apartment in Riyadh,Sky Taawun | Sky Collaboration,"3 beds,  · 3 bedrooms",Nov 12 – 17,$227,4.93 (15)
21,Luxury Villa / Chalet for rent,Villa in Jeddah,Luxury Villa / Chalet for rent,"2 beds,  · 2 bedrooms",Nov 12 – 17,$136,4.64 (36)
22,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Apartment in Mecca,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Dedicated workspace,Nov 18 – 23,$77,4.33 (9)
